"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Évaluation","Soumission d'une évaluation","Soumission nominale","0","0","1","0","0"
"Annonces","Gestion des annonces","Création d'une annonce","0","0","4","0","0"
"Demande de contact","Endpoint POST /api/v1/contact-requests","Sécurité","0","0","2","0","0"
"Administration","Endpoints REST admin-listings","Sécurité","0","0","2","0","0"
"Annonces","SearchListingsService","Résilience géolocalisation","0","0","1","0","0"
"Évaluations","Soumission d'une évaluation","Soumission d'une évaluation","0","0","2","0","0"
"Demande de contact","ContactRequestRepository — intégration PostgreSQL","Requêtes","0","0","4","0","0"
"Sécurité","Chargement utilisateur Spring Security","Connexion","0","0","4","0","0"
"Annonces","Gestion des annonces","Autocomplétion recherche ville","0","0","2","0","0"
"Évaluations","Soumission d'une évaluation","Validation des données","0","0","4","0","0"
"Authentification","Endpoints REST auth","Inscription","0","0","3","0","0"
"Administration","Endpoints REST admin-listings","Changement de statut","0","0","4","0","0"
"Annonces","SearchListingsService","Recherche avec géolocalisation","0","0","2","0","0"
"Administration","Modération des annonces","Consultation modération","0","0","2","0","0"
"Annonces","Endpoints REST listings","Détail annonce","0","0","2","0","0"
"Allergènes","Endpoints REST allergens","Contrôle d'accès RBAC","0","0","3","0","0"
"Évaluations","Consultation des évaluations","Consultation nominale","0","0","1","0","0"
"Référentiel","Endpoints REST cuisine-types","Création référentiel","0","0","3","0","0"
"Demande de contact","ContactRequestRepository — intégration PostgreSQL","Règle unicité","0","0","2","0","0"
"Référentiel","Gestion des allergènes","Détail d'un allergène","0","0","2","0","0"
"Évaluations","Soumission d'une évaluation","Consultation publique des évaluations","0","0","1","0","0"
"Géolocalisation","NominatimGateway","Résilience réseau","0","0","1","0","0"
"","","","0","0","1","0","0"
"Géolocalisation","NominatimGateway","Validation des entrées","0","0","2","0","0"
"Annonces","Gestion des annonces","Modification d'une annonce","0","0","5","0","0"
"Infrastructure","Stockage MinIO","Upload photo annonce","0","0","3","0","0"
"Annonces","SearchListingsService","Recherche sans ville","0","0","2","0","0"
"Annonces","Gestion des annonces","Changement de statut","0","0","2","0","0"
"Utilisateurs","Gestion des comptes","Consultation d'un compte","0","0","4","0","0"
"Évaluations","Soumission d'une évaluation","Consultation sans évaluation","0","0","1","0","0"
"Évaluation","Soumission d'une évaluation","Invariants Command","0","0","2","0","0"
"Référentiel","Origines culinaires","Consultation des origines culinaires","0","0","4","0","0"
"Administration","Modération des annonces","Changement de statut","0","0","3","0","0"
"Demande de contact","Soumission d'une demande","Règle métier : vendeur = acheteur","0","0","1","0","0"
"Annonces","Endpoints REST listings","Création annonce","0","0","2","0","0"
"Évaluations","Soumission d'une évaluation","Règle métier : annonce introuvable","0","0","1","0","0"
"Évaluations","Soumission d'une évaluation","Contrôle d'accès RBAC","0","0","2","0","0"
"Annonces","Gestion des annonces","Consultation des annonces","0","0","4","0","0"
"Demande de contact","Tableau de bord vendeur","Contrôle d'accès RBAC","0","0","3","0","0"
"Annonces","SearchListingController","Recherche publique","0","0","4","0","0"
"Annonces","Endpoints REST listings","Consultation catalogue","0","0","2","0","0"
"Authentification","Endpoints REST auth","Connexion","0","0","3","0","0"
"Demande de contact","ContactRequestRepository — intégration PostgreSQL","Persistance","0","0","1","0","0"
"Demande de contact","Gestion des demandes côté vendeur","Règle métier : demande introuvable","0","0","1","0","0"
"Demande de contact","Endpoint GET /api/v1/contact-requests/my","Consultation nominale","0","0","2","0","0"
"Évaluation","Soumission d'une évaluation","Règle métier : demande non confirmée","0","0","1","0","0"
"Allergènes","Endpoints REST allergens","Suppression","0","0","1","0","0"
"Utilisateurs","Gestion des comptes","Inscription d'un vendeur","0","0","5","0","0"
"Référentiel","Gestion des allergènes","Consultation du référentiel","0","0","2","0","0"
"Évaluations","Consultation des évaluations","Consultation sans évaluation","0","0","1","0","0"
"Référentiel","Endpoints REST cuisine-types","Détail origine culinaire","0","0","2","0","0"
"Recherche d'annonces","SearchListingRepository — intégration PostgreSQL","Recherche géographique","0","0","1","0","0"
"Demande de contact","Tableau de bord vendeur","Règle métier : statut final irréversible","0","0","1","0","0"
"Demande de contact","Endpoint GET /api/v1/contact-requests/my","Sécurité","0","0","2","0","0"
"Référentiel","Origines culinaires","Suppression d'une origine culinaire","0","0","3","0","0"
"Annonces","Mapping DTO listings","Conversion Listing vers ListingResponse","0","0","2","0","0"
"Demande de contact","Gestion des demandes côté vendeur","Règle métier : statut final irréversible","0","0","1","0","0"
"Géolocalisation","NominatimGateway","Recherche par ville","0","0","2","0","0"
"Référentiel","Endpoints REST cuisine-types","Suppression référentiel","0","0","4","0","0"
"Demande de contact","Historique acheteur — FindBuyerContactRequestsUseCase","Consultation nominale","0","0","2","0","0"
"Allergènes","Endpoints REST allergens","Lecture publique","0","0","1","0","0"
"Demande de contact","Soumission d'une demande","Soumission nominale","0","0","1","0","0"
"Recherche d'annonces","SearchListingRepository — intégration PostgreSQL","Filtres","0","0","1","0","0"
"Administration","Endpoints REST admin-listings","Consultation modération","0","0","2","0","0"
"Évaluation","Soumission d'une évaluation","Règle métier : acheteur introuvable","0","0","1","0","0"
"Demande de contact","Tableau de bord vendeur","Consultation tableau de bord","0","0","1","0","0"
"Annonces","Endpoints REST listings","Autocomplétion recherche ville","0","0","2","0","0"
"Demande de contact","Endpoint POST /api/v1/contact-requests","Validation","0","0","2","0","0"
"Annonces","Gestion des annonces","Suppression d'une annonce","0","0","2","0","0"
"Évaluation","Soumission d'une évaluation","Règle métier : doublon d'évaluation","0","0","1","0","0"
"Évaluations","Soumission d'une évaluation","Règle métier : doublon évaluation","0","0","1","0","0"
"Authentification","Endpoints REST auth","Déconnexion","0","0","1","0","0"
"Évaluations","Soumission d'une évaluation","Accès public sans authentification","0","0","1","0","0"
"Évaluations","Soumission d'une évaluation","Règle métier : demande non confirmée","0","0","1","0","0"
"Demande de contact","Tableau de bord vendeur","Règle métier : demande introuvable","0","0","1","0","0"
"Référentiel","Origines culinaires","Modification d'une origine culinaire","0","0","2","0","0"
"Recherche d'annonces","SearchListingRepository — intégration PostgreSQL","Cas limites","0","0","1","0","0"
"Référentiel","Endpoints REST cuisine-types","Consultation référentiel","0","0","2","0","0"
"Référentiel","Origines culinaires","Création d'une origine culinaire","0","0","1","0","0"
"Demande de contact","Gestion des demandes côté vendeur","Tableau de bord vendeur","0","0","1","0","0"
"Demande de contact","Gestion des demandes côté vendeur","Refus d'une demande","0","0","1","0","0"
"Demande de contact","Soumission d'une demande","Règle métier : annonce introuvable","0","0","1","0","0"
"Demande de contact","Endpoint POST /api/v1/contact-requests","Soumission nominale","0","0","1","0","0"
"Demande de contact","Tableau de bord vendeur","Confirmation d'une demande","0","0","1","0","0"
"Demande de contact","Soumission d'une demande","Règle métier : acheteur introuvable","0","0","1","0","0"
"Évaluation","Soumission d'une évaluation","Règle métier : annonce introuvable","0","0","1","0","0"
"Demande de contact","Historique acheteur — FindBuyerContactRequestsUseCase","Règle métier","0","0","1","0","0"
"Demande de contact","Gestion des demandes côté vendeur","Confirmation d'une demande","0","0","1","0","0"
"Demande de contact","Soumission d'une demande","Règle métier : doublon","0","0","1","0","0"
