"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 28 13:07:08 UTC 2026","Tue Jul 28 13:07:08 UTC 2026","8","","BuyerContactRequestController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.BuyerContactRequestControllerTest","shouldReturn401WhenNotAuthenticated","GET /contact-requests/my — 401 sans authentification","Un utilisateur non authentifié tente de consulter — 401 Unauthorized."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","5","","ContactRequestService","","com.tortiki.api.application.service.ContactRequestServiceTest","shouldThrowWhenListingNotFound","Doit lever ListingNotFoundException si annonce absente","L'annonce demandée n'existe pas — ListingNotFoundException levée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","69","","BuyerContactRequestService — Tests unitaires","","com.tortiki.api.application.service.BuyerContactRequestServiceTest","shouldReturnRequestsWhenBuyerHasContactRequests","findByBuyer retourne la liste des demandes de l'acheteur","L'acheteur a soumis deux demandes — la liste complète est retournée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","AllergenService — Tests unitaires","","com.tortiki.api.application.service.AllergenServiceTest","findAll_shouldReturnAllAllergens","findAll retourne la liste complète des allergènes","Liste non vide retourne tous les allergènes disponibles."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","CuisineTypeService — Tests unitaires","","com.tortiki.api.application.service.CuisineTypeServiceTest","findById_shouldThrowException_whenNotFound","findById — lève CuisineTypeNotFoundException si l'id est inconnu","Identifiant inconnu — exception métier levée avec l'id dans le message."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","34","","AdminListingController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.AdminListingControllerTest","updateStatus_shouldReturn400_whenStatusBlank","PATCH /admin/listings/{id}/status retourne 400 si le statut est vide","Statut vide, HTTP 400, le use case n'est pas appelé"
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","AdminListingService — Tests unitaires","","com.tortiki.api.application.service.AdminListingServiceTest","findAll_shouldReturnEmptyList_whenNoListings","findAll() retourne une liste vide si aucune annonce","findAll retourne une liste vide si aucune annonce n'existe"
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","4","","ReviewController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ReviewControllerTest","shouldReturn403ForSeller","POST /reviews — 403 pour ROLE_SELLER","Sofia (SELLER) tente de soumettre une évaluation — 403 Forbidden retourné."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","2","","ManageContactRequestService","","com.tortiki.api.application.service.ManageContactRequestServiceTest","shouldReturnContactRequestsForSeller","Doit retourner les demandes reçues par le vendeur","Le vendeur consulte son tableau de bord — la liste de ses demandes est retournée."
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","3","","UserDetailsServiceImpl — Tests unitaires","","com.tortiki.api.infrastructure.adapter.out.persistence.UserDetailsServiceImplTest","loadUserByUsername_shouldReturnUserDetails_withSellerRole","loadUserByUsername retourne UserDetails avec ROLE_SELLER pour un vendeur actif","Sofia est vendeuse — loadUserByUsername retourne un UserDetails avec ROLE_SELLER."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","9","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","delete_shouldReturn404_whenCuisineTypeNotFound","DELETE /cuisine-types/{id} — retourne 404 si l'origine est introuvable","Origine introuvable — HTTP 404 via GlobalExceptionHandler."
"passed","Tue Jul 28 13:07:08 UTC 2026","Tue Jul 28 13:07:08 UTC 2026","15","","ContactRequestController","","com.tortiki.api.infrastructure.adapter.in.web.ContactRequestControllerTest","shouldReturn201WhenBuyerSubmitsValidRequest","POST /api/v1/contact-requests → 201 pour ROLE_BUYER authentifié","Un acheteur authentifié soumet une demande valide — 201 Créé."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","18","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","findAll_shouldReturn200_withList","GET /cuisine-types — retourne 200 avec la liste des origines culinaires","Liste non vide — HTTP 200 avec les origines culinaires."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","8","","ContactRequestService","","com.tortiki.api.application.service.ContactRequestServiceTest","shouldCreateContactRequestWithPendingStatus","Doit créer la demande avec statut PENDING","Un acheteur soumet une demande valide — créée avec statut PENDING."
"passed","Tue Jul 28 13:07:09 UTC 2026","Tue Jul 28 13:07:09 UTC 2026","14","","AuthController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.AuthControllerTest","register_shouldReturn201_whenSuccessful","POST /register — retourne 201 avec UserResponse si l'inscription réussit","Sofia s'inscrit — HTTP 201 avec le profil utilisateur en réponse."
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","28","","AdminListingController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.AdminListingControllerTest","findAll_shouldReturn200withList","GET /admin/listings retourne 200 avec la liste des annonces","Liste non vide, HTTP 200 avec les annonces au format admin"
"passed","Tue Jul 28 13:07:06 UTC 2026","Tue Jul 28 13:07:06 UTC 2026","6","","SearchListingController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.SearchListingControllerTest","search_shouldReturn200_whenNoParamsProvided","GET /search : retourne 200 sans paramètres (recherche globale)","Vérifie que GET /api/v1/listings/search sans paramètre
retourne HTTP 200 — tous les filtres sont optionnels.
"
"passed","Tue Jul 28 13:07:10 UTC 2026","Tue Jul 28 13:07:10 UTC 2026","7","","ReviewController — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ReviewControllerTest","shouldReturn201WhenReviewIsSubmitted","POST /reviews — 201 Created pour un BUYER avec demande CONFIRMED","Théo soumet une évaluation valide — 201 Created avec le corps de la réponse."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","5","","SubmitReviewService — Tests unitaires","","com.tortiki.api.application.service.SubmitReviewServiceTest","shouldCreateReviewWhenAllRulesPass","Doit créer l'évaluation si toutes les règles sont respectées","Un acheteur avec demande confirmée soumet une évaluation — créée avec succès."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","128","","SearchListingsService — Tests unitaires","","com.tortiki.api.application.service.SearchListingsServiceTest","search_shouldReturnEmptyList_whenNoListingsFound","search : retourne liste vide si aucune annonce trouvée","Vérifie que search() retourne une liste vide sans exception
lorsque le repository ne trouve aucune annonce correspondante.
"
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","3","","SubmitReviewService — Tests unitaires","","com.tortiki.api.application.service.SubmitReviewServiceTest","shouldThrowWhenListingNotFound","Doit lever ListingNotFoundException si annonce absente","L'annonce n'existe pas — ListingNotFoundException levée."
"passed","Tue Jul 28 13:07:25 UTC 2026","Tue Jul 28 13:07:25 UTC 2026","20","","ContactRequestRepositoryIT","","com.tortiki.api.infrastructure.adapter.out.persistence.ContactRequestRepositoryIT","shouldReturnEmptyListWhenNoBuyerRequests","Doit retourner une liste vide si aucune demande pour cet acheteur","findByBuyerId retourne une liste vide si l'acheteur n'a soumis aucune demande."
"passed","Tue Jul 28 13:07:25 UTC 2026","Tue Jul 28 13:07:25 UTC 2026","63","","ContactRequestRepositoryIT","","com.tortiki.api.infrastructure.adapter.out.persistence.ContactRequestRepositoryIT","shouldFindContactRequestsByBuyerId","Doit retourner les demandes par buyerId","findByBuyerId retourne toutes les demandes soumises par un acheteur."
"passed","Tue Jul 28 13:07:05 UTC 2026","Tue Jul 28 13:07:05 UTC 2026","18","","CuisineTypeController — Tests unitaires WebMvcTest","","com.tortiki.api.infrastructure.adapter.in.web.CuisineTypeControllerTest","create_shouldReturn400_whenBodyIsInvalid","POST /cuisine-types — retourne 400 si le nom est vide","Corps invalide — HTTP 400, le use case n'est pas appelé."
"passed","Tue Jul 28 13:07:07 UTC 2026","Tue Jul 28 13:07:07 UTC 2026","2","","ListingWebMapper — Tests unitaires","","com.tortiki.api.infrastructure.adapter.in.web.ListingWebMapperTest","toResponseShouldExposeIdsAlongsideNames","toResponse — expose cuisineTypeId et allergenIds en plus des libellés","Le mapper expose cuisineTypeId et allergenIds en plus des libellés, évitant le mismatch de contrat avec ListingDetailResponse (frontend)."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","2","","UserService — Tests unitaires","","com.tortiki.api.application.service.UserServiceTest","findByEmail_shouldThrowException_whenNotFound","findByEmail — lève UserNotFoundException si l'email est inconnu","Email inconnu en base — UserNotFoundException levée avec l'email dans le message."
"passed","Tue Jul 28 13:07:11 UTC 2026","Tue Jul 28 13:07:11 UTC 2026","3","","ListingService — Tests unitaires","","com.tortiki.api.application.service.ListingServiceTest","findDistinctActiveCities_shouldReturnCityList_whenActiveListingsExist","findDistinctActiveCities — retourne la liste triée des villes actives","Villes actives présentes en base — liste triée retournée sans transformation."
